OrderID,CustomerID,OrderDate,OrderAmount,ProductCategory
1,662,2023-08-28,7433.14,Furniture
2,131,2024-10-04,8579.06,Furniture
3,468,2024-02-17,7155.7,Books
4,201,2023-05-08,9228.85,Clothing
5,570,2024-10-19,7470.57,Electronics
6,510,2023-11-07,5788.59,Books
7,499,2024-04-17,3010.71,Grocery
8,755,2023-03-27,7938.15,Grocery
9,734,2023-10-04,2081.03,Grocery
10,408,2023-03-07,1931.72,Furniture
11,168,2024-01-17,3075.56,Electronics
12,926,2023-02-25,271.08,Clothing
13,20,2024-01-17,6556.53,Furniture
14,939,2023-05-24,3636.91,Electronics
15,576,2024-07-01,152.56,Grocery
16,930,2024-07-20,8359.44,Books
17,117,2023-03-30,1727.58,Furniture
18,993,2024-10-02,1564.51,Electronics
19,929,2024-05-28,5670.91,Electronics
20,246,2024-05-03,7941.65,Grocery
21,68,2024-06-30,3613.75,Electronics
22,774,2024-11-17,6300.75,Clothing
23,340,2023-04-24,8472.78,Clothing
24,793,2023-04-28,8873.77,Clothing
25,963,2023-06-09,8699.74,Clothing
26,743,2023-12-05,9758.76,Electronics
27,436,2024-11-04,341.76,Grocery
28,947,2024-11-18,7093.34,Grocery
29,949,2023-04-04,1628.44,Books
30,719,2024-01-10,7038.67,Furniture
31,700,2023-03-14,9662.31,Furniture
32,181,2024-11-22,1526.31,Clothing
33,32,2023-07-30,9481.93,Furniture
34,902,2023-04-12,5397.57,Books
35,595,2024-11-15,154.47,Furniture
36,46,2023-10-20,902.81,Grocery
37,881,2023-10-31,9114.86,Electronics
38,817,2024-03-19,5681.48,Furniture
39,108,2024-04-09,8838.03,Grocery
40,729,2023-02-06,215.83,Grocery
41,33,2024-02-27,2548.7,Grocery
42,44,2023-11-06,3150.27,Grocery
43,194,2023-07-25,4777.0,Grocery
44,18,2023-12-05,2914.74,Clothing
45,884,2024-02-15,8238.96,Books
46,741,2024-12-29,3349.78,Electronics
47,723,2024-12-18,9122.43,Grocery
48,591,2024-11-11,3646.15,Grocery
49,586,2024-10-21,4559.03,Grocery
50,615,2023-09-05,6610.01,Grocery
51,732,2024-06-14,7297.84,Grocery
52,305,2024-12-06,8010.29,Books
53,900,2023-02-11,2072.91,Furniture
54,800,2024-12-26,2650.28,Books
55,296,2023-04-09,546.63,Furniture
56,368,2024-04-17,7077.25,Books
57,970,2023-02-21,2314.13,Books
58,581,2024-11-16,3926.72,Electronics
59,423,2023-10-20,4798.86,Clothing
60,839,2023-12-17,7854.03,Furniture
61,654,2023-02-19,1594.79,Electronics
62,201,2024-04-18,348.87,Clothing
63,939,2024-03-10,2875.77,Furniture
64,337,2024-09-23,7143.9,Books
65,707,2023-06-30,5286.22,Clothing
66,313,2023-04-28,378.95,Electronics
67,657,2023-08-17,6477.64,Grocery
68,354,2023-06-23,3661.68,Grocery
69,392,2023-12-08,9912.91,Clothing
70,95,2024-01-16,4331.31,Electronics
71,567,2023-07-22,5279.88,Furniture
72,452,2024-11-07,8393.78,Furniture
73,377,2024-04-30,7730.69,Electronics
74,555,2023-03-21,4979.27,Books
75,682,2023-03-30,4887.36,Clothing
76,310,2023-08-10,754.54,Clothing
77,593,2023-07-02,8128.15,Clothing
78,113,2024-03-05,1693.94,Furniture
79,945,2024-10-07,5507.77,Furniture
80,922,2023-08-31,6778.36,Grocery
81,4,2023-10-31,9559.89,Clothing
82,129,2024-11-30,8465.72,Grocery
83,615,2024-05-28,4527.83,Electronics
84,356,2023-03-29,1819.03,Furniture
85,778,2023-12-17,9213.56,Clothing
86,404,2024-11-02,1309.2,Books
87,336,2023-02-06,3307.55,Clothing
88,158,2023-08-22,2607.27,Grocery
89,100,2024-08-16,7675.49,Grocery
90,964,2023-08-04,6081.64,Electronics
91,819,2024-08-17,137.78,Clothing
